hindi_terms,english_translations
अजीवात् जनन,abiogenesis
असामान्य,abnormal
चतुर्थ आमाशय,abomasum
ऐबोमेसम,abomasum
रुद्ध-वृद्धि अंग,aborted organ
रुद्ध वृद्धि बीज,aborted seed
गर्भपात,abortion
गर्भस्राव,abortion
वृद्धि विरोध,abortion
अनावांछित अपवण,absolute weed
पूर्ण खरपतवार,absolute weed
अवशोषित धनायन,absorbed cation
अवशोषण,absorption
ऐबिसिनि सरसों,abyssinian mustard
ऐकेरसनाशी,acaricide
विच्छीटनाशी,acaricide
अकेन्द्रीय,accentric
प्रवर्धन (कोशिका),accentuate (cell)
स्वीकृत सहन्यता,accepted tolerance
अतिरिक्त,accessory
सहायक,accessory
गौण,accessory
पर्युकूलन,acclimatization
संचय,accumulation
यथार्थता,accuracy
परिशुद्धता,accuracy
एसर्वुलस,acervulus
बीजाणुपात्र,acervulus
ऐसीटीकरण,acetification
सिरका बनाना,acetification
ऐसीटीलन,acetification
अम्लीकरण,acidification
अम्लन,acidification
अन्तातामापी,acidimeter
ऐसिडीमीटर,acidimeter
अम्लता,acidity
अम्लरागी,acidophilic
अम्लीकृत रॉक फॉस्फेट,acidulated rock phosphate
अम्लसह,aciduric
जलभृत,acquifer
अधिग्रहण,acquisition
एकड़,acre
क्षेत्रफल,area
रकबा,acreage
उपांत बिंदु क्रोमोसोम,acrocentric chromosome
अग्रगामीसारी,acropetal
ऐक्रोसोम,acrosome
ऐक्टिनोमाइसिटीज,actinomycetes
सक्रिय मूलक्षेत्र,active root zone
उग्र,acute
तीव्र,acute
अनुकूलनशीलता,adaptability
अनुकूलन,adaptation
आसंजन,adhesion
अभिलाग,adhesion
वसामय,adipose
समायोजन समीकरण,adjustment equation
एडोब मृदा,adobe soil
अपमिश्रक,adulterant
अपस्थानीय,adventitious
इसीडियोस्पोर,aecidiospore
इसीडियम बीजाणु,aecidiospore
वातोढ़ प्रक्रिया,aeolian process
वातोढ़,aeolian
वातन करना,aerate
वायव,aerial
आकाशी,aerial
ऐरोमीटर,aerometer
वायुमापी,aerometer
वायुगतत्वमाप,aerometer
ऐरोसोल,aerosol
पुष्पदलविन्यास,aestivation
श्रीभिनिक्षिप्तता,aestivation
रोग हेतु विज्ञान,aetiology (etiology)
वनरोपण,forestation
विलोडन,agitation
प्रक्षोभन,agitation
ऐगमार्क,agmark
भूमि संबंधी,agrarian
कृषि संबंधी,agrarian
कृषि निदानालय,agricultural clinic
कृषि श्रम,agricultural labour
खेतिहर मजदूर,agricultural labour
कृषि विपणन,agricultural marketing
कृषि प्रौद्योगिकी,agricultural technology
कृषि,farming
खेतीबारी,agriculture
कृषि विज्ञान,agriculture
कृषि वनवर्धन,agrisilviculture
कृषि जैविक विविधता,agrobiodiversity
कृषि जैविक दोष,agrobiological defects
कृषि जैविकी,agrobiology
कृषि जलवायुवीय विविधता,agroclimatic diversity
कृषिजलवायुवीय जोन निर्माण,agroclimatic zoning
कृषिवानिकी,agroforestry
मृदा विज्ञान,soil science
सस्य विज्ञान,agronomy
कृषि पशुचारणिक,agropastoral
फसल प्रसंस्करण,agroprocessing
घास विज्ञान,agrostology
सस्य प्रकार,agrotype
अधिपादप,air plant
ऐकिओची मृदा,akiochi soil
वर्णकहीनता,albinism
एल्फिसॉल,alfisols
शैवाल,algae
शैवाल रोग,algal disease
क्षार जल,alkali water
क्षारीय,alkaline
विकल्पी,facultative
एलली रसायन,allelochemicals
युग्मविकल्पी,allelomorph
एलिलोपैथी,allelopathy
वीथी सरसयन,alley cropping
परनिषेक-फलता,allocarpy
परनिषेचन,allogamy
"सापेक्षमिति, ऐलोमेट्री",allometry
परबहुगुणित,allopolyploid
"परयुग्मन, अपयुगलन",allosynapsis (allosyndesis)
"एकांतर वर्ष फलन, एकांतरित फलन",alternate bearing
वैकल्पिक भूमि उपयोग,alternate land use
परिवेश,ambient
सुधारक,ameliorant
असूत्रीविभाजन,amitosis
ऐमिनन,amminization
अमोनिययन,ammonification
अमोनिकारक,ammonifier
"1.अप्रभावी रूप, 2.अरूपी",amorph
उभय मिश्रण,amphimixis
उभयधर्मी,amphoteric
उपचय,anabolism
"अवायुवीय, अनाक्सी जीव",anaerobe
असुगुणित,aneuploid
कोणीय रोपण,angle planting
पशुपालन,animal husbandry
पशु उच्छिष्ट,animal refuse
सजीव ऊर्जा,animate energy
असममुगित,anisoploid
एकवर्षीय पादप,annual plant
वार्षिक,annual
परागोद्भव,anthesis
प्रफुल्लन,anthesis
ऐन्थ्रैक्स,anthrax
मानवजनिक कारक,anthropogenic factor
प्रतिजैविता,antibiosis
प्रतिजैविक,antibiotic
ऐन्टीबायोटिक,antibiotic
प्रतिकारक,antidote
प्रतिऑक्सीकाकरक,antioxidants
प्रतिआविष,antitoxin
वलयिका,anulus
ऐफिड,aphid
माहू,aphids
चेपा,aphid
शीर्ष कलिका,apical bud
शिखाय प्रभाविता,apical dominance
मधुमक्खी पालन,apiculture (bee keeping)
असंगजनन,apomixis
एपोटोसिस,apoptosis
उपांग,appendage
क्षुधावर्धक,appetizer
अनुपयुक्त,applied
जलीय खरपतवार,aquatic weed
वृक्षीय,arboreal
वृक्षवासी,arboreal
शाखायन,arborization
आद्य वानस्पतिक अभिलेख,archaeo-botanical records
क्षेत्रांक,area statistics
क्षेत्र,field
शुष्क पारितंत्र,arid ecosystem
बीजचोल,aril
सौरभ,aroma
सुगंधी पादप,aromatic plant
सुगंधित चावल,aromatic rice
इध्रु पुंजम,arrowing
अपूति,asepsis
अपूतित,aseptic
अजर्म,aseptic
अलैंगिक प्रवर्धन,asexual propagation
आमाप,assay
परिसंपत्ति,assets
स्वांगीकरण,assimilation
आत्मसात्करण,assimilation
साहचर्य,association
संघ,association
स्तंभक,astringent
कषाय,astringent
असंपृयुमन,asynapsis
पूर्वजता,atavism
ऐटाविज्म,atavism
कणित्र,atomizer
अपक्षय,weathering
क्षीणता,atrophy
स्वयुग्मन,autogamy
स्वलयन,autolysis
स्वत: उपचयन,autooxidation
स्वत: ऑक्सीभवन,autooxidation
स्वबहुगुणित,autopolyploid
ऑक्सिन,auxins
शूक,awn (bristle)
तृण,awn (bristle)
दंड विषाणु,baccilovirus
दंडाणु,bacillus
बैसिलस,bacillus
जीवाणु,bacteria
बैक्टीरिया,bacteria
जीवाणु आविष,bacteriotoxin
खई,bagasse
तुलन-पत्र,balance sheet
संतुलित उर्वरक उपयोग,balanced fertilization
दंड आलेख,bar diagram
छाल,bark
वायुदाबमापी,barometer
बैरोमीटर,barometer
बंजर,barren
अकृष,barren
बांझ,barren
आधार,base
बेस,base
कंपांग,base
थाला,basin
ढ्रौणी,basin
तलामिसारी,basipetal
बेसिस्टर्नम,basisternum
मूलाधारक,basisternum
खाड़ी मानसून,bay monsoon
फलदायी पौधा,bearing plant
क्यारी,bed
क्यारी - पौधा,bedder
क्यारी बनाना,bedding
चुकंदर शीरा,beet molasses
धौंकनी,bellows
पट्टी,belt
इलाका,belt
लाभ-लागत विश्लेषण,benefit-cost analysis
अभिनत (प्रति चयन),biased (sampling)
द्विवर्षीय पादप,biennial
द्विपद,binomial
जैवकारक,bioagent
जीव जलवायु,bioclimate
जैव ऊर्जा,bioenergy
जीव पारिस्थितिकी,bionomics
जैव-प्रक्रियापात्र,bio-reactor
बायो रिएक्टर,bio-reactor
जीव-मंडल,biosphere
जीवीय,biotic
जीव प्रकार,biotype
द्विलिंगी,bisexual
धवलन,blanching
प्रभंस (रोग),blast
झोंका रोग,blast
संमिश्रण,blend
अंगमारी (रोग),blight
ब्लाइट (रोग),blight
छाला,blister
फफोला,blister
उद्वर्त,blister
ब्लिस्टर,blister
नीली क्रांति,blue revolution
तलीय ताप चैंबर,bottom heat chamber
तलीय ताप तकनीक,bottom heat technique
चोकर,bran
शाखन,branching
टहनी,branchlet
उपशाखा,branchlet
नस्ल,breed
प्रजनन,breeding
शीघ्र अंकुरण उपचार,brimming
शाव,brood
अंड,brood
भ्रूण,embryo
कलिकायन,budding
बजट,budget
उभयप्रतिरोधी,buffer
बफर,buffer
शल्ककंद,bulb
बंट (रोग),bunt
उपजात,by-product
उत्पाद,by-product
